Year,State_Abbreviation,State,Population,Violent_Crime,Homicide,Rape,Robbery,Aggravated_Assault,Property_Crime,Burglary
1986,OK,Oklahoma,3305000,14423,269,1202,3521,9431,184342,59054
1986,OR,Oregon,2698000,14830,178,1379,5555,7718,176207,53062
1986,PA,Pennsylvania,11889000,42629,659,2984,18085,20901,326149,87362
1986,RI,Rhode Island,975000,3271,34,209,1157,1871,44528,12616
1986,SC,South Carolina,3378000,22789,291,1395,3361,17742,150752,45276
1986,SD,South Dakota,708000,883,28,125,115,615,18346,3919
1986,TN,Tennessee,4803000,25919,501,2256,9978,13184,191861,63649
1986,TX,Texas,16682000,109925,2258,8607,40021,59039,1125897,341747
1986,UT,Utah,1665000,4441,53,421,976,2991,86774,15233
1986,VA,Virginia,5787000,17708,411,1533,6118,9646,205658,47021
1986,VT,Vermont,541000,807,11,118,120,558,20708,5135
1986,WA,Washington,4463000,19505,223,2382,6031,10869,287535,83078
1986,WI,Wisconsin,4785000,12339,149,961,3483,7746,183692,37464
1986,WV,West Virginia,1919000,3156,114,362,787,1893,41301,11999
1986,WY,Wyoming,507000,1486,27,111,114,1234,20605,4144
1987,AK,Alaska,525000,2391,53,341,384,1613,25841,5093
1987,AL,Alabama,4083000,22833,380,1137,4581,16735,158918,48927
1987,AR,Arkansas,2388000,9839,182,779,1890,6988,91537,25743
1987,AZ,Arizona,3386000,20742,253,1396,4687,14406,222663,55059
1987,CA,California,27663000,253943,2924,12109,83341,155569,1545928,419969
1987,CO,Colorado,3296000,15409,191,1344,3916,9958,197225,50580
1987,CT,Connecticut,3211000,13455,156,800,5720,6779,146958,39120
1987,DC,District of Columbia,622000,10016,225,245,4462,5084,42553,11244
1987,DE,Delaware,644000,2774,33,441,789,1511,29032,6572
1987,FL,Florida,12023000,123168,1371,6032,42869,72896,899167,271346
1987,GA,Georgia,6222000,35868,735,2681,13014,19438,324511,96572
1987,HI,Hawaii,1083000,2851,52,393,1061,1345,60157,12515
1987,IA,Iowa,2834000,6553,59,337,1025,5132,110781,26010
1987,ID,Idaho,998000,2138,31,175,242,1690,39342,9748
1987,IL,Illinois,11582000,92216,967,4443,36406,50400,535126,130147
1987,IN,Indiana,5531000,18169,307,1609,4901,11352,209695,52363
1987,KS,Kansas,2476000,8932,110,808,2032,5982,112488,28177
1987,KY,Kentucky,3727000,12589,280,781,3361,8167,109284,31571
1987,LA,Louisiana,4461000,30916,496,1600,7987,20833,231090,64441
1987,MA,Massachusetts,5855000,33060,173,1868,10379,20640,244105,62056
1987,MD,Maryland,4535000,34820,436,1795,13164,19425,213589,52718
1987,ME,Maine,1187000,1806,30,186,304,1286,40122,9148
1987,MI,Michigan,9200000,71772,1124,6184,25442,39022,522254,133602
1987,MN,Minnesota,4246000,12118,112,1439,4354,6213,183868,45384
1987,MO,Missouri,5103000,27792,423,1473,8376,17520,212430,56711
1987,MS,Mississippi,2625000,7081,269,767,1496,4549,83182,31537
1987,MT,Montana,809000,1223,33,160,196,834,35986,6521
1987,NC,North Carolina,6413000,31039,519,1863,6023,22634,267157,86964
1987,ND,North Dakota,672000,382,10,63,51,258,18656,3060
1987,NE,Nebraska,1594000,4004,55,345,751,2853,61853,13516
1987,NH,New Hampshire,1057000,1581,32,281,280,988,34058,7344
1987,NJ,New Jersey,7672000,41507,351,2559,17862,20735,362155,77392
1987,NM,New Mexico,1500000,9427,152,646,1625,7004,88775,26815
1987,NV,Nevada,1007000,7006,85,622,2744,3555,57154,16408
1987,NY,New York,17825000,179691,2016,5537,89721,82417,881330,216826
1987,OH,Ohio,10784000,45436,630,4305,16511,23990,447964,114580
1987,OK,Oklahoma,3272000,13664,244,1173,3583,8664,183495,58333
1987,OR,Oregon,2724000,14697,153,1247,5338,7959,175138,48562
1987,PA,Pennsylvania,11936000,44087,642,3130,17241,23074,333476,86177
1987,RI,Rhode Island,986000,3547,35,241,1062,2209,48568,14208
1987,SC,South Carolina,3425000,22773,318,1497,3463,17495,154021,46511
1987,SD,South Dakota,709000,849,13,146,87,603,18138,3787
1987,TN,Tennessee,4855000,25900,444,2133,9409,13914,200616,65632
1987,TX,Texas,16789000,105961,1959,8068,38053,57881,1190558,355597
1987,UT,Utah,1680000,3861,55,365,887,2554,90532,15975
1987,VA,Virginia,5904000,17414,437,1537,6244,9196,216354,47642
1987,VT,Vermont,548000,748,15,123,92,518,22658,6085
1987,WA,Washington,4538000,19945,256,2370,6417,10902,298491,86428
1987,WI,Wisconsin,4807000,12014,168,954,3192,7700,188411,40502
1987,WV,West Virginia,1897000,2605,92,429,591,1493,38953,11450
1987,WY,Wyoming,490000,1387,10,154,98,1125,18366,3516
1988,AK,Alaska,513000,2682,29,296,374,1983,22566,4321
1988,AL,Alabama,4127000,23052,408,1228,4860,16556,165209,50920
1988,AR,Arkansas,2422000,10237,211,780,2037,7209,91962,26443
1988,AZ,Arizona,3466000,21147,294,1345,4750,14758,237808,54773
1988,CA,California,28168000,261912,2936,11780,86141,161055,1607180,407631
1988,CO,Colorado,3290000,15548,187,1269,3250,10842,187719,45503
1988,CT,Connecticut,3241000,14759,174,849,6080,7656,150455,39477
1988,DC,District of Columbia,620000,11914,369,165,5690,5690,49557,12300
1988,DE,Delaware,660000,2981,34,491,784,1672,28693,6868
1988,FL,Florida,12377000,138343,1416,6154,49916,80857,967869,283960
1988,GA,Georgia,6401000,42589,748,2970,15593,23278,362376,103106
1988,HI,Hawaii,1093000,2810,44,355,919,1492,62650,13726
1988,IA,Iowa,2834000,7279,47,446,1132,5654,108254,24211
1988,ID,Idaho,999000,2345,36,179,202,1928,37345,8691
1988,IL,Illinois,11544000,93557,991,4449,36097,52020,555316,130292
1988,IN,Indiana,5575000,21187,358,1731,4963,14135,210177,52137
1988,KS,Kansas,2487000,9083,85,779,2136,6083,112280,29321
1988,KY,Kentucky,3721000,12284,229,835,2764,8456,104362,30747
1988,LA,Louisiana,4420000,31711,512,1702,9238,20259,222913,63843
1988,MA,Massachusetts,5871000,36376,208,1876,10352,23940,256639,62307
1988,MD,Maryland,4644000,37466,449,1721,13994,21302,227457,54735
1988,ME,Maine,1206000,1898,37,224,311,1326,41249,9852
1988,MI,Michigan,9300000,68980,1009,6462,22424,39085,496867,122254
1988,MN,Minnesota,4306000,12490,124,1337,4079,6950,173302,39167
1988,MO,Missouri,5139000,28393,413,1505,8638,17837,220578,58605
1988,MS,Mississippi,2627000,8544,225,951,2028,5340,85840,33651
1988,MT,Montana,804000,989,21,135,182,651,33318,5657
1988,NC,North Carolina,6526000,32753,510,1833,7085,23325,284557,90791
1988,ND,North Dakota,663000,392,12,74,54,252,17695,2902
1988,NE,Nebraska,1601000,4374,58,385,898,3033,61908,12251
1988,NH,New Hampshire,1097000,1622,25,276,231,1090,34951,7489
1988,NJ,New Jersey,7720000,44993,411,2600,18927,23055,363807,75675
1988,NM,New Mexico,1510000,9938,173,580,1557,7628,89817,27737
1988,NV,Nevada,1060000,8275,111,782,3087,4295,60128,16376
1988,NY,New York,17898000,196396,2244,5479,97434,91239,932845,218060
1988,OH,Ohio,10872000,49144,585,4632,17546,26381,455890,112130
1988,OK,Oklahoma,3263000,14179,243,1229,3428,9279,168194,53624
1988,OR,Oregon,2741000,14959,139,1111,5289,8420,178520,48355
1988,PA,Pennsylvania,12027000,43534,660,2992,16607,23275,338486,83791
1988,RI,Rhode Island,995000,3947,41,303,1146,2457,47837,12550
1988,SC,South Carolina,3493000,25889,325,1493,4357,19714,163164,49467
1988,SD,South Dakota,715000,813,22,192,87,512,17641,3703
1988,TN,Tennessee,4919000,26205,461,2201,8537,15006,193647,60894
1988,TX,Texas,16780000,109499,2022,8119,39301,60057,1235870,361972
1988,UT,Utah,1691000,4110,47,399,915,2749,90223,14898
1988,VA,Virginia,5996000,17940,468,1622,6748,9102,232496,49069
1988,VT,Vermont,556000,791,11,128,89,563,22786,6098
1988,WA,Washington,4619000,21543,264,2611,6738,11930,307008,85711
1988,WI,Wisconsin,4858000,10414,144,965,3258,6047,182545,35423
1988,WV,West Virginia,1884000,2476,93,353,644,1386,39703,11510
1988,WY,Wyoming,471000,1479,12,113,71,1283,17206,3103
1989,AK,Alaska,527000,2623,42,279,356,1946,22567,4358
1989,AL,Alabama,4118000,24329,421,1276,5515,17117,166244,47224
1989,AR,Arkansas,2406000,11397,203,924,2660,7610,98213,28738
1989,AZ,Arizona,3556000,21320,237,1286,4944,14853,265284,59284
1989,CA,California,29063000,284136,3158,11966,96431,172581,1681516,410468
1989,CO,Colorado,3317000,15636,146,1202,2984,11304,184692,41475
1989,CT,Connecticut,3239000,16576,190,892,6956,8538,154119,40035
1989,DC,District of Columbia,604000,12937,434,186,6542,5775,49235,11780
1989,DE,Delaware,673000,3745,34,569,934,2208,28998,6072
1989,FL,Florida,12671000,140575,1405,6299,51188,81683,975042,289254
1989,GA,Georgia,6436000,47357,820,3150,17450,25937,407868,110215
1989,HI,Hawaii,1112000,3004,53,496,925,1530,66723,14939
1989,IA,Iowa,2840000,7563,54,459,1108,5942,108349,24052
1989,ID,Idaho,1014000,2582,26,236,152,2168,37278,8843
1989,IL,Illinois,11658000,98611,1051,4161,39138,54261,558803,125441
1989,IN,Indiana,5593000,22735,353,1804,5671,14907,225592,54201
1989,KS,Kansas,2513000,10073,138,917,2508,6510,115146,29871
1989,KY,Kentucky,3727000,13302,293,917,2836,9256,110328,30526
1989,LA,Louisiana,4382000,34257,653,1675,10397,21532,239235,64184
1989,MA,Massachusetts,5913000,39912,254,1881,11980,25797,263780,63004
1989,MD,Maryland,4694000,40152,544,1783,15589,22236,220955,52735
1989,ME,Maine,1222000,1676,39,229,293,1115,42116,9810
1989,MI,Michigan,9273000,65760,993,6624,20616,37527,487682,113579
1989,MN,Minnesota,4353000,12549,111,1363,4128,6947,178252,39042
1989,MO,Missouri,5159000,32634,409,1587,10060,20578,231874,58594
1989,MS,Mississippi,2621000,8156,253,1017,2053,4833,83980,30018
1989,MT,Montana,806000,935,23,145,137,630,31285,5575
1989,NC,North Carolina,6571000,35902,584,1964,8770,24584,309323,98792
1989,ND,North Dakota,660000,417,4,78,61,274,16485,2369
1989,NE,Nebraska,1611000,4503,40,381,837,3245,61413,12010
1989,NH,New Hampshire,1107000,1865,36,327,264,1238,37945,8157
1989,NJ,New Jersey,7736000,47111,394,2449,21139,23129,360532,75548
1989,NM,New Mexico,1528000,10755,132,702,1607,8314,89693,26146
1989,NV,Nevada,1111000,6947,91,662,2784,3410,62732,15607
1989,NY,New York,17950000,203042,2246,5242,103983,91571,926596,211130
1989,OH,Ohio,10907000,51109,652,4872,18635,26950,465143,111057
1989,OK,Oklahoma,3224000,15847,210,1209,4070,10358,161558,50411
1989,OR,Oregon,2820000,14625,134,1314,4282,8895,159119,40197
1989,PA,Pennsylvania,12040000,45586,753,2963,18025,23845,359008,85925
1989,RI,Rhode Island,998000,3772,49,266,1122,2335,48372,12045
1989,SC,South Carolina,3512000,28576,320,1632,4574,22050,168772,48914
1989,SD,South Dakota,715000,969,9,229,84,647,18230,3394
1989,TN,Tennessee,4940000,27118,417,2270,7926,16505,195854,59621
1989,TX,Texas,16991000,111889,2029,7951,37913,63996,1234977,342346
1989,UT,Utah,1707000,4417,45,489,898,2985,92577,15311
1989,VA,Virginia,6098000,19057,480,1638,6494,10445,237757,46156
1989,VT,Vermont,567000,753,11,131,102,509,22429,5835
1989,WA,Washington,4761000,22460,209,2938,6672,12641,291472,73563
1989,WI,Wisconsin,4867000,10834,176,993,3659,6006,191869,35683
1989,WV,West Virginia,1857000,2724,121,347,793,1463,41154,11635
1989,WY,Wyoming,475000,1227,21,134,81,991,17246,3001
1990,AK,Alaska,550043,2885,41,401,422,2021,25457,4919
1990,AL,Alabama,4040587,28630,467,1319,5805,21039,169974,44585
1990,AR,Arkansas,2350725,12511,241,1019,2661,8590,101897,28464
1990,AZ,Arizona,3665228,23911,284,1500,5897,16230,265229,61206
1990,CA,California,29760021,311051,3553,12688,112208,182602,1654186,400392
1990,CO,Colorado,3294394,17328,138,1521,2985,12684,182106,39822
1990,CT,Connecticut,3287116,18201,166,918,7717,9400,158867,40355
1990,DC,District of Columbia,606900,14919,472,303,7365,6779,50470,12035
1990,DE,Delaware,666168,4365,33,587,1098,2647,31344,6465
1990,FL,Florida,12937926,160990,1379,6781,53928,98902,978944,280832
1990,GA,Georgia,6478216,48996,767,3472,17067,27690,389165,104905
1990,HI,Hawaii,1108229,3113,44,360,1013,1696,64563,13611
1990,IA,Iowa,2776755,8321,54,510,1089,6668,105550,22448
1990,ID,Idaho,1006749,2776,27,275,151,2323,38069,8187
1990,IL,Illinois,11430602,110575,1182,4505,45038,59850,567841,121506
1990,IN,Indiana,5544159,26275,344,2103,5619,18209,233376,52297
1990,KS,Kansas,2477574,11093,98,1002,2914,7079,117571,28901
1990,KY,Kentucky,3685296,14386,264,1068,2545,10509,107208,28264
1990,LA,Louisiana,4219973,37914,724,1781,11387,24022,235822,60677
1990,MA,Massachusetts,6016425,44300,243,2030,13062,28965,274442,66942
1990,MD,Maryland,4781468,43940,552,2185,17394,23809,234842,53549
1990,ME,Maine,1227928,1759,30,242,308,1179,43647,10106
1990,MI,Michigan,9295297,73468,971,7209,21752,43536,483764,106275
1990,MN,Minnesota,4375099,13392,117,1487,4057,7731,185185,39691
1990,MO,Missouri,5117073,36602,449,1663,11073,23417,225422,54536
1990,MS,Mississippi,2573216,8758,313,1134,2217,5094,90803,32196
1990,MT,Montana,799065,1273,39,195,173,866,34702,5666
1990,NC,North Carolina,6628637,41332,711,2272,10082,28267,322306,101444
1990,ND,North Dakota,638800,472,5,114,50,303,18196,2725
1990,NE,Nebraska,1578385,5209,43,473,807,3886,61290,11424
1990,NH,New Hampshire,1109252,1459,21,386,302,750,38976,8158
1990,NJ,New Jersey,7730188,50057,432,2307,23269,24049,371023,78628
1990,NM,New Mexico,1515069,11821,139,753,1744,9185,89448,26343
1990,NV,Nevada,1201833,7222,116,748,2864,3494,65652,16434
1990,NY,New York,17990455,212458,2605,5368,112380,92105,932416,208813
1990,OH,Ohio,10847115,54904,663,5075,20451,28715,470469,106575
1990,OK,Oklahoma,3145585,17222,253,1479,3836,11654,158889,45531
1990,OR,Oregon,2842321,14405,108,1332,4102,8863,146073,32273
1990,PA,Pennsylvania,11881643,51213,801,3068,20930,26414,361805,86624
1990,RI,Rhode Island,1003464,4334,48,248,1224,2814,49378,12755
1990,SC,South Carolina,3486703,34050,390,1873,5313,26474,176729,48132
1990,SD,South Dakota,696004,1133,14,239,86,794,19116,3671
1990,TN,Tennessee,4877185,32698,511,2415,9325,20447,213648,61646
1990,TX,Texas,16986510,129343,2389,8750,44297,73907,1200151,314512
1990,UT,Utah,1722850,4892,52,651,980,3209,92620,15172
1990,VA,Virginia,6187358,21694,545,1915,7626,11608,253063,45236
1990,VT,Vermont,562758,716,13,146,66,491,23713,6119
1990,WA,Washington,4866692,24410,238,3115,6326,14731,278440,61460
1990,WI,Wisconsin,4891769,12948,225,1013,5514,6196,202052,36755
1990,WV,West Virginia,1793477,3036,102,423,680,1831,41855,11785
1990,WY,Wyoming,453588,1367,22,134,72,1139,17732,2862
1991,AK,Alaska,570000,3499,42,523,645,2289,29000,5582
1991,AL,Alabama,4089000,34518,469,1455,6246,26348,184882,51873
1991,AR,Arkansas,2372000,14072,264,1058,3217,9533,108677,29093
1991,AZ,Arizona,3750000,25152,291,1590,6215,17056,252559,60281
1991,CA,California,30380000,331122,3859,12896,124939,189428,1726391,424656
1991,CO,Colorado,3377000,18887,199,1588,3628,13472,186235,39117
1991,CT,Connecticut,3291000,17761,187,960,7384,9230,158770,39198
1991,DC,District of Columbia,598000,14671,482,214,7269,6706,49722,12405
1991,DE,Delaware,680000,4857,37,588,1460,2772,35055,7668
1991,FL,Florida,13277000,157243,1248,6865,53083,96047,977570,266313
1991,GA,Georgia,6623000,48894,849,2800,17762,27483,381165,100317
1991,HI,Hawaii,1135000,2744,45,375,986,1338,65020,14011
1991,IA,Iowa,2795000,8477,57,583,1257,6580,107069,23267
1991,ID,Idaho,1039000,3016,19,300,215,2482,40578,8582
1991,IL,Illinois,11543000,119955,1300,4615,52653,61387,587868,129284
1991,IN,Indiana,5610000,28349,423,2318,6506,19102,241930,54814
1991,KS,Kansas,2495000,12465,153,1118,3453,7741,125616,32601
1991,KY,Kentucky,3713000,16262,253,1315,3084,11610,108430,29576
1991,LA,Louisiana,4252000,40438,720,1738,11860,26120,232732,60017
1991,MA,Massachusetts,5996000,44138,249,1926,11669,30294,274990,69977
1991,MD,Maryland,4860000,46469,569,2229,19783,23888,255299,56258
1991,ME,Maine,1235000,1631,15,270,280,1066,44900,11146
1991,MI,Michigan,9368000,75232,1009,7372,22790,44061,499781,111126
1991,MN,Minnesota,4432000,14006,131,1762,4345,7768,185268,37832
1991,MO,Missouri,5158000,39358,543,1756,12952,24107,239982,64643
1991,MS,Mississippi,2592000,10085,332,1199,3015,5539,99317,34524
1991,MT,Montana,808000,1130,21,160,150,799,28347,4231
1991,NC,North Carolina,6737000,44355,769,2331,11990,29265,352368,114009
1991,ND,North Dakota,635000,415,7,116,51,241,17326,2367
1991,NE,Nebraska,1593000,5330,52,447,861,3970,64031,11574
1991,NH,New Hampshire,1105000,1318,40,330,365,583,36780,8126
1991,NJ,New Jersey,7760000,49257,406,2259,22744,23848,372212,78821
1991,NM,New Mexico,1548000,12922,163,811,1862,10086,90474,26672
1991,NV,Nevada,1284000,8693,152,848,4012,3681,72183,18026
1991,NY,New York,18058000,210184,2571,5085,112342,90186,917467,204499
1991,OH,Ohio,10939000,61460,783,5748,23536,31393,489100,115423
1991,OK,Oklahoma,3175000,18533,230,1615,4094,12594,161449,46934
1991,OR,Oregon,2922000,14795,133,1561,4387,8714,153370,34363
1991,PA,Pennsylvania,11961000,53824,758,3435,23191,26440,371814,86074
1991,RI,Rhode Island,1004000,4638,37,310,1234,3057,45957,11320
1991,SC,South Carolina,3560000,34621,402,2098,6092,26029,185359,51793
1991,SD,South Dakota,703000,1281,12,279,132,858,20366,4146
1991,TN,Tennessee,4953000,35955,547,2299,10543,22566,229856,67608
1991,TX,Texas,17349000,145743,2652,9266,49700,84125,1210784,312693
1991,UT,Utah,1770000,5077,52,808,976,3241,94178,14872
1991,VA,Virginia,6286000,23459,583,1879,8651,12346,266160,49224
1991,VT,Vermont,567000,662,12,173,67,410,21764,5784
1991,WA,Washington,5018000,26224,211,3529,7303,15181,290115,61996
1991,WI,Wisconsin,4955000,13723,239,1259,5895,6330,207560,37241
1991,WV,West Virginia,1801000,3440,111,415,779,2135,44528,12009
1991,WY,Wyoming,460000,1427,15,119,79,1214,18762,3184
1992,AK,Alaska,587000,3877,44,579,640,2614,28816,5170
1992,AL,Alabama,4136000,36052,455,1704,6819,27074,181837,49053
1992,AR,Arkansas,2399000,13831,259,990,3011,9571,100402,26214
1992,AZ,Arizona,3832000,25706,312,1647,5867,17880,243629,54095
1992,CA,California,30867000,345624,3921,12761,130897,198045,1716137,427491
1992,CO,Colorado,3470000,20086,216,1641,4180,14049,186684,37853
1992,CT,Connecticut,3281000,16252,166,884,6918,8284,149535,36372
1992,DC,District of Columbia,589000,16685,443,215,7459,8568,50502,10721
1992,DE,Delaware,689000,4280,32,591,1042,2615,29126,6598
1992,FL,Florida,13488000,162827,1208,7310,49482,104827,964533,254755
1992,GA,Georgia,6751000,49496,741,3057,16863,28835,382934,97402
1992,HI,Hawaii,1160000,2998,42,440,1151,1365,67901,13006
1992,IA,Iowa,2812000,7816,44,528,1113,6131,103459,21197
1992,ID,Idaho,1067000,3003,37,339,229,2398,39636,7934
1992,IL,Illinois,11631000,113664,1322,4312,47973,60057,556900,125306
1992,IN,Indiana,5662000,28791,464,2398,6921,19008,236584,53907
1992,KS,Kansas,2523000,12888,151,1042,3277,8418,121334,32639
1992,KY,Kentucky,3755000,20107,216,1209,3273,15409,104692,27378
1992,LA,Louisiana,4287000,42209,747,1813,11636,28013,238438,58574
1992,MA,Massachusetts,5998000,46727,214,2166,11059,33288,253344,64318
1992,MD,Maryland,4908000,49085,596,2278,21054,25157,256418,55520
1992,ME,Maine,1235000,1616,21,294,288,1013,41900,10156
1992,MI,Michigan,9437000,72672,938,7550,20902,43282,456800,98257
1992,MN,Minnesota,4480000,15144,150,1840,4906,8248,190520,39859
1992,MO,Missouri,5193000,38448,547,1895,11783,24223,226246,57127
1992,MS,Mississippi,2614000,10763,320,1166,3254,6023,101181,33533
1992,MT,Montana,824000,1400,24,210,222,944,36472,5306
1992,NC,North Carolina,6843000,46600,723,2455,12784,30638,350447,113117
1992,ND,North Dakota,636000,530,12,148,50,320,17935,2487
1992,NE,Nebraska,1606000,5598,68,504,911,4115,63846,11477
1992,NH,New Hampshire,1111000,1397,18,424,367,588,32828,6909
1992,NJ,New Jersey,7789000,48745,397,2392,22216,23740,345718,75508
1992,NM,New Mexico,1581000,14781,141,990,2202,11448,86942,23896
1992,NV,Nevada,1327000,9247,145,833,4397,3872,73077,17108
1992,NY,New York,18119000,203311,2397,5152,108154,87608,858178,193548
1992,OH,Ohio,11016000,57935,724,5739,21925,29547,456017,104357
1992,OK,Oklahoma,3212000,20005,210,1556,4376,13863,154459,43678
1992,OR,Oregon,2977000,15189,139,1580,4507,8963,158100,32945
1992,PA,Pennsylvania,12009000,51276,746,3324,21701,25505,356155,75834
1992,RI,Rhode Island,1005000,3965,36,311,950,2668,42044,10529
1992,SC,South Carolina,3603000,34029,373,2072,6148,25436,178298,49669
1992,SD,South Dakota,711000,1383,4,368,120,891,19939,3849
1992,TN,Tennessee,5024000,37487,520,2377,10964,23626,220534,63665
1992,TX,Texas,17656000,142369,2239,9437,44588,86105,1103779,268928
1992,UT,Utah,1813000,5267,54,823,1014,3376,97322,16045
1992,VA,Virginia,6377000,23907,564,2008,8787,12548,250211,45217
1992,VT,Vermont,570000,624,12,142,51,419,18813,4706
1992,WA,Washington,5136000,27454,258,3697,7178,16321,289581,57612
1992,WI,Wisconsin,5007000,13806,218,1315,5997,6276,202448,34645
1992,WV,West Virginia,1812000,3833,115,393,788,2537,43455,11287
1992,WY,Wyoming,466000,1489,17,163,84,1225,19831,3127
1993,AK,Alaska,599000,4557,54,502,733,3268,28795,4893
1993,AL,Alabama,4187000,32676,484,1471,6677,24044,171598,45578
1993,AR,Arkansas,2424000,14381,247,1028,3027,10079,102231,26646
1993,AZ,Arizona,3936000,28142,339,1488,6412,19903,264371,57684
1993,CA,California,31211000,336381,4096,11766,126436,194083,1678884,414182
1993,CO,Colorado,3566000,20229,206,1633,4160,14230,176856,36011
1993,CT,Connecticut,3277000,14949,206,800,6447,7496,137443,32052
1993,DC,District of Columbia,578000,16888,454,324,7107,9003,51091,11534
1993,DE,Delaware,700000,4801,35,539,1307,2920,29304,6244
1993,FL,Florida,13679000,164975,1224,7359,48913,107479,977363,251063
1993,GA,Georgia,6917000,50019,789,2448,17154,29628,378348,90423
1993,HI,Hawaii,1172000,3061,45,394,1214,1408,70505,13310
1993,IA,Iowa,2814000,9159,66,686,1517,6890,99080,20562
1993,ID,Idaho,1099000,3097,32,388,186,2491,39161,7350
1993,IL,Illinois,11697000,112260,1332,4046,44584,62298,544869,118788
1993,IN,Indiana,5713000,27941,430,2234,6845,18432,227149,48677
1993,KS,Kansas,2531000,12564,161,1016,3128,8259,113360,28655
1993,KY,Kentucky,3789000,17530,249,1301,3425,12555,105979,28041
1993,LA,Louisiana,4295000,45600,874,1817,12182,30727,248461,58768
1993,MA,Massachusetts,6012000,48393,233,2006,10563,35591,245831,60220
1993,MD,Maryland,4965000,49540,632,2185,21582,25141,253647,56246
1993,ME,Maine,1239000,1558,20,329,264,945,37519,8909
1993,MI,Michigan,9478000,75021,933,6740,22601,44747,441767,93143
1993,MN,Minnesota,4517000,15986,155,2796,5092,7943,183347,38147
1993,MO,Missouri,5234000,38963,590,1894,12654,23825,227731,53673
1993,MS,Mississippi,2643000,11467,357,1125,3683,6302,105308,33985
1993,MT,Montana,839000,1489,25,234,272,958,38699,5992
1993,NC,North Carolina,6945000,47178,785,2379,13364,30650,345377,105270
1993,ND,North Dakota,635000,522,11,149,53,309,17387,2370
1993,NE,Nebraska,1607000,6071,63,447,1003,4558,62725,10662
1993,NH,New Hampshire,1125000,1550,23,499,307,721,31131,5795
1993,NJ,New Jersey,7879000,49390,418,2215,23319,23438,328867,76738
1993,NM,New Mexico,1616000,15024,130,842,2237,11815,86236,22966
1993,NV,Nevada,1389000,12157,144,846,4724,6443,73685,17293
1993,NY,New York,18197000,195352,2420,5008,102122,85802,814824,181709
1993,OH,Ohio,11091000,55915,667,5444,21373,28431,441550,97394
1993,OK,Oklahoma,3231000,20512,273,1592,3935,14712,150546,39903
1993,OR,Oregon,3032000,15254,140,1554,3930,9630,159558,31072
1993,PA,Pennsylvania,12048000,50295,823,3195,21563,24714,343841,70125
1993,RI,Rhode Island,1000000,4017,39,286,1011,2681,40973,10409
1993,SC,South Carolina,3643000,37281,377,1905,6825,28174,177779,47695
1993,SD,South Dakota,715000,1490,24,318,107,1041,19661,3927
1993,TN,Tennessee,5099000,39047,521,2544,11224,24758,228117,60299
1993,TX,Texas,18031000,137419,2147,9922,40469,84881,1023612,233913
1993,UT,Utah,1860000,5599,58,829,1090,3622,91816,14708
1993,VA,Virginia,6491000,24160,539,2083,9216,12322,242975,43338
1993,VT,Vermont,576000,658,21,229,52,356,22223,5036
1993,WA,Washington,5255000,27040,271,3384,7204,16181,285753,56083
1993,WI,Wisconsin,5038000,13321,222,1269,5714,6116,190923,33400
1993,WV,West Virginia,1820000,3793,126,365,782,2520,42300,10904
1993,WY,Wyoming,470000,1345,16,161,81,1087,18221,3023
1994,AK,Alaska,606000,4644,38,418,886,3302,29947,4848
1994,AL,Alabama,4219000,28844,501,1487,7223,19633,178015,44064
1994,AR,Arkansas,2453000,14598,294,1028,3158,10118,103115,26911
1994,AZ,Arizona,4075000,28653,426,1465,6601,20161,294273,60157
1994,CA,California,31431000,318395,3703,10984,112160,191548,1622102,384257
1994,CO,Colorado,3656000,18632,199,1579,3910,12944,175808,33843
1994,CT,Connecticut,3275000,14916,215,806,6150,7745,134030,29142
1994,DC,District of Columbia,570000,15177,399,249,6311,8218,48009,10037
1994,DE,Delaware,706000,4549,33,546,1141,2829,29971,6198
1994,FL,Florida,13953000,160016,1165,7301,45871,105679,991105,237341
1994,GA,Georgia,7055000,47103,703,2448,15703,28249,376926,81406
1994,HI,Hawaii,1179000,3091,50,359,1221,1461,75672,14029
1994,IA,Iowa,2829000,8914,47,666,1327,6874,94475,18872
1994,ID,Idaho,1133000,3238,40,316,209,2673,42954,8147
1994,IL,Illinois,11752000,112928,1378,3913,43788,63849,548222,118116
1994,IN,Indiana,5752000,30205,453,2046,7490,20216,233975,48921
1994,KS,Kansas,2554000,11314,170,1055,2940,7149,112477,28635
1994,KY,Kentucky,3827000,16991,244,1350,3595,11802,110725,28718
1994,LA,Louisiana,4315000,42369,856,1923,11530,28060,245488,55188
1994,MA,Massachusetts,6041000,42749,214,1825,10160,30550,225532,53222
1994,MD,Maryland,5006000,47457,579,2035,20147,24696,259039,52234
1994,ME,Maine,1240000,1611,28,318,278,987,38971,8938
1994,MI,Michigan,9496000,72751,927,6720,21733,43371,444325,91849
1994,MN,Minnesota,4567000,16397,147,2725,5370,8155,181856,36157
1994,MO,Missouri,5278000,39240,554,1955,12178,24553,240898,55577
1994,MS,Mississippi,2669000,13177,409,1212,4336,7220,115924,34493
1994,MT,Montana,856000,1516,28,233,280,975,41445,6178
1994,NC,North Carolina,7070000,46308,772,2334,12811,30391,351397,104118
1994,ND,North Dakota,638000,522,1,149,71,301,16933,2070
1994,NE,Nebraska,1623000,6322,51,500,1223,4548,65746,10963
1994,NH,New Hampshire,1137000,1328,16,407,308,597,29837,5275
