State,2018,2017,2016,2015,2014,2013,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984
Alabama,49936.0,51113.0,47221.0,44509.0,42278.0,47320.0,41381.0,43464.0,42590.0,40933.0,39980.0,44476.0,42212.0,37952.0,37150.0,36629.0,37255.0,37603.0,35160.0,35424.0,36251.0,36266.0,31939.0,30302.0,25991.0,27196.0,25082.0,25808.0,24346.0,23357.0,21284.0,19948.0,19734.0,19132.0,18333.0,17310.0
Alaska,68734.0,72231.0,75723.0,75112.0,67629.0,72472.0,61137.0,63648.0,57431.0,57848.0,61604.0,63989.0,62993.0,56418.0,55891.0,55063.0,51837.0,52774.0,57363.0,52847.0,51396.0,50692.0,47994.0,52779.0,47954.0,45367.0,42931.0,41802.0,40612.0,39298.0,36006.0,33103.0,33233.0,31356.0,34782.0,32356.0
Arizona,62283.0,61125.0,57100.0,52248.0,49254.0,52611.0,50602.0,47044.0,48621.0,46896.0,45739.0,46914.0,47215.0,46657.0,45245.0,43846.0,41166.0,39734.0,42704.0,39783.0,36995.0,37090.0,32740.0,31637.0,30863.0,31293.0,30510.0,29358.0,30737.0,29224.0,28552.0,26435.0,26749.0,25500.0,23877.0,21425.0
Arkansas,49781.0,48829.0,45907.0,42798.0,44922.0,39376.0,39919.0,39018.0,41302.0,38587.0,36538.0,39586.0,40795.0,37057.0,36658.0,34984.0,32002.0,32387.0,33339.0,29697.0,29682.0,27665.0,26162.0,27123.0,25814.0,25565.0,23039.0,23882.0,23435.0,22786.0,21433.0,20172.0,18827.0,18730.0,17451.0,15674.0
California,70489.0,69759.0,66637.0,63636.0,60487.0,60794.0,57528.0,57020.0,53367.0,54283.0,56134.0,57014.0,55734.0,55319.0,51755.0,49222.0,49300.0,47437.0,47262.0,46816.0,43629.0,40934.0,39694.0,38812.0,37009.0,35331.0,34073.0,34903.0,33664.0,33290.0,33009.0,30287.0,30146.0,29010.0,26981.0,25287.0
Colorado,73034.0,74172.0,70566.0,66596.0,60940.0,67912.0,63371.0,57255.0,58629.0,60233.0,55930.0,60943.0,61141.0,55697.0,50449.0,50886.0,49940.0,48294.0,49397.0,48240.0,48177.0,46599.0,43233.0,40950.0,40706.0,37833.0,34488.0,32484.0,31499.0,30733.0,26806.0,26214.0,26476.0,27192.0,28182.0,25801.0
Connecticut,72812.0,72780.0,75923.0,72889.0,70161.0,69291.0,67781.0,64247.0,65415.0,65998.0,64851.0,64682.0,64141.0,62404.0,56835.0,55100.0,54965.0,53387.0,53347.0,50172.0,50593.0,46508.0,43985.0,42119.0,40243.0,41097.0,39516.0,40841.0,42154.0,38870.0,42321.0,36213.0,32862.0,32721.0,31090.0,29951.0
Delaware,65012.0,62318.0,58046.0,57756.0,57522.0,54091.0,52219.0,48972.0,54660.0,55214.0,52114.0,50702.0,54589.0,52438.0,51235.0,48049.0,49019.0,49650.0,49602.0,50365.0,46628.0,41458.0,43033.0,39309.0,34928.0,35873.0,36064.0,35678.0,32585.0,30804.0,32068.0,30505.0,29244.0,25626.0,22980.0,25819.0
D.C.,85750.0,83382.0,70982.0,70071.0,68277.0,60057.0,60675.0,65246.0,55251.0,56928.0,53141.0,55590.0,50783.0,48477.0,44993.0,43451.0,45044.0,39070.0,41169.0,41222.0,38670.0,33433.0,31860.0,31966.0,30748.0,30116.0,27304.0,30247.0,29885.0,27392.0,26752.0,26741.0,27455.0,24322.0,21076.0,20408.0
